FIN_YEAR,Year,MONTH,Date,QUARTER,STATE,FG,DISTRICT,RAINFALL,COMPANY,VALUE
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Rudra Prayag,462.7,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Shravasti,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Balrampur,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Gonda,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Siddharth Nagar,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Basti,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Sant Kabeer Nagar,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Maharajganj,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Kushi Nagar,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Deoria,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Azamgarh,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Mau,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Chandauli,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Varanasi,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Etah,10.85,ABC Manufacturing,0
2014-2015,2014,May,1-May-2014,Q1,Uttar Pradesh,Bactericides,Amethi,10.85,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttar Pradesh,Bactericides,Lucknow,30.8,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttar Pradesh,Bactericides,Farrukhabad,30.8,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Uttar Pradesh,Bactericides,Kannauj,30.8,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Uttar Pradesh,Bactericides,Saharanpur,57.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Uttar Pradesh,Bactericides,Gautam Buddha Nagar,57.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Uttar Pradesh,Bactericides,Bareilly,57.5,ABC Manufacturing,0
2014-2015,2015,Mar,1-Mar-2015,Q4,Uttar Pradesh,Bactericides,Farrukhabad,57.5,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Uttar Pradesh,Bactericides,Chandauli,5.65,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Tehri Garhwal,462.7,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Dehradun,462.7,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Pithoragarh,462.7,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Bageshwar,462.7,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Champawat,462.7,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Nainital,462.7,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Udam Singh Nagar,462.7,ABC Manufacturing,0
2014-2015,2014,Jul,1-Jul-2014,Q2,Uttarakhand,Bactericides,Haridwar,462.7,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Uttar Kashi,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Chamoli,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Rudra Prayag,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Tehri Garhwal,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Pauri Garhwal,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Pithoragarh,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Almora,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Champawat,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Nainital,264.2,ABC Manufacturing,0
2014-2015,2014,Aug,1-Aug-2014,Q2,Uttarakhand,Bactericides,Haridwar,264.2,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Uttar Kashi,107.9,ABC Manufacturing,0
2014-2015,2014,Sep,1-Sep-2014,Q2,Uttarakhand,Bactericides,Chamoli,107.9,ABC Manufacturing,0
