FIN_YEAR,Year,MONTH,Date,QUARTER,STATE,FG,DISTRICT,RAINFALL,COMPANY,VALUE
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Ambala,9.6,ABC Manufacturing,6019.38
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Yamunanagar,9.6,ABC Manufacturing,425.25
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Karnal,9.6,ABC Manufacturing,14782.635
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Panipat,9.6,ABC Manufacturing,4031.91
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Sonipat,9.6,ABC Manufacturing,8692.11
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Jind,9.6,ABC Manufacturing,9215.1
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Fatehabad,9.6,ABC Manufacturing,14653.845
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Hisar,9.6,ABC Manufacturing,7497.495
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Bhiwani,9.6,ABC Manufacturing,7843.5
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Rohtak,9.6,ABC Manufacturing,4540.725
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Mahendragarh,9.6,ABC Manufacturing,2564.865
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Rewari,9.6,ABC Manufacturing,2849.715
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Mewat,9.6,ABC Manufacturing,2038.5
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Faridabad,9.6,ABC Manufacturing,2382.75
2014-2015,2014,Dec,1-Dec-2014,Q3,Haryana,Insecticides,Palwal,9.6,ABC Manufacturing,8377.155
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Kangra,203.6,ABC Manufacturing,3075.3
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Kullu,203.6,ABC Manufacturing,89.1
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Mandi,203.6,ABC Manufacturing,1561.005
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Hamirpur,203.6,ABC Manufacturing,133.65
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Bilaspur,203.6,ABC Manufacturing,2568.915
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Solan,203.6,ABC Manufacturing,1583.55
2014-2015,2014,Jul,1-Jul-2014,Q2,Himachal Pradesh,Insecticides,Shimla,203.6,ABC Manufacturing,251.1
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Chamba,146.7,ABC Manufacturing,189
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Kangra,146.7,ABC Manufacturing,700.785
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Kullu,146.7,ABC Manufacturing,475.74
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Mandi,146.7,ABC Manufacturing,369.63
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Hamirpur,146.7,ABC Manufacturing,40.5
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Solan,146.7,ABC Manufacturing,1267.65
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Sirmaur,146.7,ABC Manufacturing,1901.07
2014-2015,2014,Aug,1-Aug-2014,Q2,Himachal Pradesh,Insecticides,Shimla,146.7,ABC Manufacturing,550.8
2014-2015,2014,Sep,1-Sep-2014,Q2,Himachal Pradesh,Insecticides,Kangra,84.6,ABC Manufacturing,6.48
2014-2015,2014,Sep,1-Sep-2014,Q2,Himachal Pradesh,Insecticides,Kullu,84.6,ABC Manufacturing,1.89
2014-2015,2014,Sep,1-Sep-2014,Q2,Himachal Pradesh,Insecticides,Sirmaur,84.6,ABC Manufacturing,80.865
2014-2015,2014,Sep,1-Sep-2014,Q2,Himachal Pradesh,Insecticides,Shimla,84.6,ABC Manufacturing,2.7
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Chamba,19.3,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Lahul And Spiti,19.3,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Kullu,19.3,ABC Manufacturing,14.175
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Mandi,19.3,ABC Manufacturing,17.685
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Una,19.3,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Bilaspur,19.3,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Solan,19.3,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Sirmaur,19.3,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Shimla,19.3,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Himachal Pradesh,Insecticides,Kinnaur,19.3,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Kangra,4.5,ABC Manufacturing,2575.8
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Lahul And Spiti,4.5,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Mandi,4.5,ABC Manufacturing,454.95
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Hamirpur,4.5,ABC Manufacturing,500.85
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Una,4.5,ABC Manufacturing,2924.1
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Bilaspur,4.5,ABC Manufacturing,345.6
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Sirmaur,4.5,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Shimla,4.5,ABC Manufacturing,0
2014-2015,2014,Nov,1-Nov-2014,Q3,Himachal Pradesh,Insecticides,Kinnaur,4.5,ABC Manufacturing,0
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Ambala,10.5,ABC Manufacturing,2545.425
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Yamunanagar,10.5,ABC Manufacturing,3853.845
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Kurukshetra,10.5,ABC Manufacturing,7499.25
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Kaithal,10.5,ABC Manufacturing,14284.08
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Karnal,10.5,ABC Manufacturing,6953.985
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Jind,10.5,ABC Manufacturing,7254.09
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Fatehabad,10.5,ABC Manufacturing,6027.75
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Sirsa,10.5,ABC Manufacturing,14538.42
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Hisar,10.5,ABC Manufacturing,411.21
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Bhiwani,10.5,ABC Manufacturing,3956.58
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Rohtak,10.5,ABC Manufacturing,2944.35
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Mahendragarh,10.5,ABC Manufacturing,5014.305
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Rewari,10.5,ABC Manufacturing,4143.825
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Mewat,10.5,ABC Manufacturing,1275.615
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Faridabad,10.5,ABC Manufacturing,696.06
2014-2015,2014,Oct,1-Oct-2014,Q3,Haryana,Insecticides,Palwal,10.5,ABC Manufacturing,1747.575
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Ambala,72.3,ABC Manufacturing,1214.325
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Yamunanagar,72.3,ABC Manufacturing,699.3
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Karnal,72.3,ABC Manufacturing,8170.605
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Panipat,72.3,ABC Manufacturing,1769.31
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Sonipat,72.3,ABC Manufacturing,6644.7
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Jind,72.3,ABC Manufacturing,818.505
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Fatehabad,72.3,ABC Manufacturing,8721.81
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Sirsa,72.3,ABC Manufacturing,4331.745
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Bhiwani,72.3,ABC Manufacturing,619.65
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Rohtak,72.3,ABC Manufacturing,4587.57
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Mahendragarh,72.3,ABC Manufacturing,3504.735
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Rewari,72.3,ABC Manufacturing,2135.295
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Gurgaon,72.3,ABC Manufacturing,587.25
2014-2015,2014,Jul,1-Jul-2014,Q2,Haryana,Insecticides,Palwal,72.3,ABC Manufacturing,2246.535
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Panchkula,7.5,ABC Manufacturing,438.75
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Yamunanagar,7.5,ABC Manufacturing,89.1
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Kurukshetra,7.5,ABC Manufacturing,2937.06
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Kaithal,7.5,ABC Manufacturing,3034.125
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Karnal,7.5,ABC Manufacturing,5320.89
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Panipat,7.5,ABC Manufacturing,1618.515
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Sonipat,7.5,ABC Manufacturing,2451.195
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Jind,7.5,ABC Manufacturing,3402.945
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Fatehabad,7.5,ABC Manufacturing,5682.69
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Hisar,7.5,ABC Manufacturing,66.825
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Bhiwani,7.5,ABC Manufacturing,5.535
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Rohtak,7.5,ABC Manufacturing,33.345
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Jhajjar,7.5,ABC Manufacturing,339.12
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Mahendragarh,7.5,ABC Manufacturing,1050.705
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Rewari,7.5,ABC Manufacturing,615.06
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Gurgaon,7.5,ABC Manufacturing,202.5
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Faridabad,7.5,ABC Manufacturing,338.445
2014-2015,2014,Apr,1-Apr-2014,Q1,Haryana,Insecticides,Palwal,7.5,ABC Manufacturing,483.705
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Panchkula,6.6,ABC Manufacturing,402.3
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Ambala,6.6,ABC Manufacturing,3424.275
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Yamunanagar,6.6,ABC Manufacturing,4551.525
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Kurukshetra,6.6,ABC Manufacturing,8165.88
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Kaithal,6.6,ABC Manufacturing,819.855
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Panipat,6.6,ABC Manufacturing,1654.425
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Sonipat,6.6,ABC Manufacturing,10155.915
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Jind,6.6,ABC Manufacturing,5572.665
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Fatehabad,6.6,ABC Manufacturing,13693.05
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Sirsa,6.6,ABC Manufacturing,9255.195
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Hisar,6.6,ABC Manufacturing,7847.28
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Bhiwani,6.6,ABC Manufacturing,8266.995
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Rohtak,6.6,ABC Manufacturing,3093.66
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Mahendragarh,6.6,ABC Manufacturing,2823.255
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Rewari,6.6,ABC Manufacturing,3211.245
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Gurgaon,6.6,ABC Manufacturing,1485
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Mewat,6.6,ABC Manufacturing,1653.75
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Faridabad,6.6,ABC Manufacturing,1533.06
2014-2015,2015,Feb,1-Feb-2015,Q4,Haryana,Insecticides,Palwal,6.6,ABC Manufacturing,3403.89
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Chamba,49.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Kangra,49.3,ABC Manufacturing,38.34
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Lahul And Spiti,49.3,ABC Manufacturing,37.8
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Kullu,49.3,ABC Manufacturing,42.12
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Mandi,49.3,ABC Manufacturing,1224.18
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Una,49.3,ABC Manufacturing,0
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Solan,49.3,ABC Manufacturing,2303.1
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Sirmaur,49.3,ABC Manufacturing,2107.35
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Shimla,49.3,ABC Manufacturing,518.4
2014-2015,2014,Dec,1-Dec-2014,Q3,Himachal Pradesh,Insecticides,Kinnaur,49.3,ABC Manufacturing,0
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Chamba,67.2,ABC Manufacturing,33.75
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Kangra,67.2,ABC Manufacturing,2628.99
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Kullu,67.2,ABC Manufacturing,47.52
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Mandi,67.2,ABC Manufacturing,1845.45
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Una,67.2,ABC Manufacturing,3678.75
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Bilaspur,67.2,ABC Manufacturing,1440.855
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Solan,67.2,ABC Manufacturing,1864.35
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Sirmaur,67.2,ABC Manufacturing,1647
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Shimla,67.2,ABC Manufacturing,534.6
2014-2015,2015,Jan,1-Jan-2015,Q4,Himachal Pradesh,Insecticides,Kinnaur,67.2,ABC Manufacturing,0
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Chamba,156.6,ABC Manufacturing,67.5
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Kangra,156.6,ABC Manufacturing,3547.8
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Kullu,156.6,ABC Manufacturing,199.26
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Mandi,156.6,ABC Manufacturing,549.45
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Una,156.6,ABC Manufacturing,5553.9
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Solan,156.6,ABC Manufacturing,749.925
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Sirmaur,156.6,ABC Manufacturing,774.495
2014-2015,2015,Feb,1-Feb-2015,Q4,Himachal Pradesh,Insecticides,Shimla,156.6,ABC Manufacturing,383.4
2014-2015,2015,Mar,1-Mar-2015,Q4,Himachal Pradesh,Insecticides,Kangra,192.5,ABC Manufacturing,467.1
2014-2015,2015,Mar,1-Mar-2015,Q4,Himachal Pradesh,Insecticides,Kullu,192.5,ABC Manufacturing,399.6
2014-2015,2015,Mar,1-Mar-2015,Q4,Himachal Pradesh,Insecticides,Mandi,192.5,ABC Manufacturing,35.91
2014-2015,2015,Mar,1-Mar-2015,Q4,Himachal Pradesh,Insecticides,Sirmaur,192.5,ABC Manufacturing,205.2
2014-2015,2015,Mar,1-Mar-2015,Q4,Himachal Pradesh,Insecticides,Shimla,192.5,ABC Manufacturing,486.675
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Ambala,20.3,ABC Manufacturing,252.72
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Yamunanagar,20.3,ABC Manufacturing,933.255
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Kurukshetra,20.3,ABC Manufacturing,2675.43
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Karnal,20.3,ABC Manufacturing,3436.83
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Panipat,20.3,ABC Manufacturing,472.77
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Jind,20.3,ABC Manufacturing,8360.415
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Fatehabad,20.3,ABC Manufacturing,3989.52
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Hisar,20.3,ABC Manufacturing,3356.91
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Bhiwani,20.3,ABC Manufacturing,1738.935
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Rohtak,20.3,ABC Manufacturing,315.36
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Jhajjar,20.3,ABC Manufacturing,135.945
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Mahendragarh,20.3,ABC Manufacturing,49.545
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Rewari,20.3,ABC Manufacturing,15.525
2014-2015,2014,May,1-May-2014,Q1,Haryana,Insecticides,Palwal,20.3,ABC Manufacturing,143.37
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Ambala,71.8,ABC Manufacturing,908.685
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Yamunanagar,71.8,ABC Manufacturing,6292.08
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Kurukshetra,71.8,ABC Manufacturing,2595.915
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Kaithal,71.8,ABC Manufacturing,8466.525
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Karnal,71.8,ABC Manufacturing,6729.75
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Sonipat,71.8,ABC Manufacturing,1983.285
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Jind,71.8,ABC Manufacturing,7184.43
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Fatehabad,71.8,ABC Manufacturing,7174.305
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Sirsa,71.8,ABC Manufacturing,14524.785
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Hisar,71.8,ABC Manufacturing,7958.925
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Bhiwani,71.8,ABC Manufacturing,6.21
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Rohtak,71.8,ABC Manufacturing,6786.72
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Jhajjar,71.8,ABC Manufacturing,21.465
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Rewari,71.8,ABC Manufacturing,28.62
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Faridabad,71.8,ABC Manufacturing,136.62
2014-2015,2015,Mar,1-Mar-2015,Q4,Haryana,Insecticides,Palwal,71.8,ABC Manufacturing,617.49
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Ambala,12.4,ABC Manufacturing,6591.24
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Yamunanagar,12.4,ABC Manufacturing,12911.4
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Kurukshetra,12.4,ABC Manufacturing,1479.06
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Karnal,12.4,ABC Manufacturing,6698.97
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Sonipat,12.4,ABC Manufacturing,13089.735
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Jind,12.4,ABC Manufacturing,8706.15
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Fatehabad,12.4,ABC Manufacturing,7803
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Sirsa,12.4,ABC Manufacturing,15169.545
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Hisar,12.4,ABC Manufacturing,7411.635
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Bhiwani,12.4,ABC Manufacturing,15496.92
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Mahendragarh,12.4,ABC Manufacturing,2004.75
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Rewari,12.4,ABC Manufacturing,2564.46
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Gurgaon,12.4,ABC Manufacturing,1251.99
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Mewat,12.4,ABC Manufacturing,2313.9
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Ambala,0.2,ABC Manufacturing,3114.045
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Kurukshetra,0.2,ABC Manufacturing,5177.385
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Kaithal,0.2,ABC Manufacturing,1202.85
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Karnal,0.2,ABC Manufacturing,11678.31
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Panipat,0.2,ABC Manufacturing,944.325
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Sonipat,0.2,ABC Manufacturing,8229.195
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Jind,0.2,ABC Manufacturing,3928.5
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Fatehabad,0.2,ABC Manufacturing,14379.12
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Sirsa,0.2,ABC Manufacturing,24234.525
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Hisar,0.2,ABC Manufacturing,8958.33
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Rohtak,0.2,ABC Manufacturing,5824.17
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Jhajjar,0.2,ABC Manufacturing,2767.5
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Mahendragarh,0.2,ABC Manufacturing,3170.475
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Rewari,0.2,ABC Manufacturing,6637.41
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Gurgaon,0.2,ABC Manufacturing,1160.595
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Mewat,0.2,ABC Manufacturing,644.76
2014-2015,2014,Nov,1-Nov-2014,Q3,Haryana,Insecticides,Faridabad,0.2,ABC Manufacturing,1775.25
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Faridabad,12.4,ABC Manufacturing,1485
2014-2015,2015,Jan,1-Jan-2015,Q4,Haryana,Insecticides,Palwal,12.4,ABC Manufacturing,6296.805
2014-2015,2014,Jun,1-Jun-2014,Q1,Haryana,Insecticides,Panchkula,25.9,ABC Manufacturing,215.865
2014-2015,2014,Jun,1-Jun-2014,Q1,Haryana,Insecticides,Yamunanagar,25.9,ABC Manufacturing,7266.915
2014-2015,2014,Jun,1-Jun-2014,Q1,Haryana,Insecticides,Kurukshetra,25.9,ABC Manufacturing,12495.735
2014-2015,2014,Jun,1-Jun-2014,Q1,Haryana,Insecticides,Kaithal,25.9,ABC Manufacturing,11890.665
2014-2015,2014,Jun,1-Jun-2014,Q1,Haryana,Insecticides,Karnal,25.9,ABC Manufacturing,7848.225
2014-2015,2014,Jun,1-Jun-2014,Q1,Haryana,Insecticides,Sonipat,25.9,ABC Manufacturing,13130.235
